DATAFLOW,LAST UPDATE,freq,unit,s_adj,indic,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2020-01,4.8,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2020-02,5.5,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2020-03,5.4,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2020-04,6.1,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2020-05,6.8,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2020-06,7.4,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2020-07,6.3,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2020-08,6.0,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2020-09,6.0,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2020-10,5.7,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2020-11,5.7,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2020-12,6.6,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2021-01,8.4,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2021-02,8.2,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2021-03,7.3,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2021-04,7.3,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2021-05,6.5,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2021-06,5.8,,
ESTAT:EI_LMHR_M(1.0),20/02/25 11:00:00,Monthly,Percentage of population in the labour force,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Unemployment according to ILO definition - total,Austria,2021-07,5.6,,
